year,temp_avg
1931,-1.1178571428571424
1932,-1.3827586206896552
1933,-0.03928571428571427
1934,2.5071428571428576
1935,2.4035714285714285
1936,-0.3000000000000001
1937,1.9785714285714282
1938,1.7678571428571428
1939,2.9321428571428574
1940,-7.151724137931033
1941,-0.41071428571428575
1942,-5.1571428571428575
1943,3.3000000000000003
1944,0.06551724137931035
1945,4.017857142857143
1946,2.0535714285714284
1947,-8.210714285714285
1948,0.058620689655172524
1949,2.317857142857143
1950,2.746428571428571
1951,1.9071428571428573
1952,1.0689655172413794
1953,0.7500000000000001
1954,-5.278571428571429
1955,-2.360714285714286
1956,-8.779310344827584
1957,3.885714285714286
1958,1.9071428571428573
1959,0.1964285714285712
1960,-0.675862068965517
1961,4.625000000000001
1962,0.7821428571428569
1963,-5.060714285714286
1964,-0.19655172413793096
1965,-1.1642857142857144
1966,1.1500000000000001
1967,3.0714285714285707
1968,0.603448275862069
1969,-2.5892857142857153
1970,-1.9357142857142862
1971,2.0535714285714284
1972,1.8206896551724139
1973,2.3678571428571438
1974,3.5857142857142854
1975,1.0392857142857146
1976,0.04137931034482729
1977,2.5857142857142854
1978,-0.8964285714285712
1979,-2.964285714285714
1980,0.9586206896551722
1981,0.6571428571428573
1982,-0.06071428571428571
1983,-0.8571428571428571
1984,0.24482758620689668
1985,-2.974999999999999
1986,-6.799999999999999
1987,-0.7214285714285714
1988,2.6999999999999997
1989,4.085714285714285
1990,6.364285714285714
1991,-2.435714285714286
1992,3.7034482758620686
1993,0.19999999999999996
1994,-0.6428571428571429
1995,4.7
1996,-2.6551724137931028
1997,4.260714285714286
1998,5.782142857142857
1999,1.3607142857142855
2000,4.117241379310345
2001,1.703571428571429
2002,5.300000000000002
2003,-1.7535714285714288
2004,2.8034482758620696
2005,-0.4035714285714286
2006,-0.1535714285714286
2007,3.5357142857142856
2008,4.813793103448277
2009,0.6857142857142857
2010,-0.2535714285714285
2011,-0.23571428571428601
2012,-1.8206896551724139
2013,0.07142857142857141
2014,5.085714285714286
2015,1.7178571428571427
2016,3.8965517241379306
2017,2.0999999999999996
2018,-1.0964285714285715
2019,4.703571428571429
2020,5.813793103448277
2021,0.9678571428571433
